pair_id,which,target_class,pred_prob_target,delta_ins_base,delta_del_base,delta_ins_weight_randomized,delta_del_weight_randomized,delta_ins_label_permuted,delta_del_label_permuted,random_baseline_unique_ratio,rank_jaccard_weight_randomized,rank_jaccard_label_permuted,orientation_ok_base
test_diag_11,B,48,0.9461850523948669,-0.03078048278888057,0.008936996509631534,1.2892453620828859e-06,4.567473661152427e-06,0.011781098072727536,0.0067792172233263615,1.0,0.3333333333333333,0.6666666666666666,True
test_diag_12,A,48,0.8154964447021484,0.08483256146311757,0.17849379435181617,-2.549644559620215e-06,-7.348628714681782e-06,-0.017210505604743992,-0.0066673251241445575,1.0,0.5384615384615384,0.25,True
test_diag_12,B,48,0.8154964447021484,-0.04393668174743648,-0.02020640224218373,1.4611579139123254e-05,5.2492303604430995e-06,-0.014538939432664322,-0.011888872662728478,1.0,0.42857142857142855,0.3333333333333333,True
test_diag_13,A,48,0.8566367626190186,0.1796543641523881,0.08166713524948466,-1.744997094977989e-05,-1.1671863665635093e-05,-0.030194743925874873,-0.04241851591928436,1.0,0.5384615384615384,0.8181818181818182,True
test_diag_13,B,48,0.8566367626190186,-0.058772019635547235,-0.0906995977867735,6.477081809530896e-06,9.29651697251059e-06,0.016527372158386483,0.0021217714487151706,1.0,0.6666666666666666,0.6666666666666666,True
test_diag_14,A,48,0.4705480635166168,0.03701986002345237,0.07062842668064184,2.082674914310155e-05,2.823956010322183e-05,-0.0267203992893619,-0.012775957800688298,1.0,0.42857142857142855,0.8181818181818182,True
test_diag_14,B,48,0.4705480635166168,0.11550464358594686,0.06976422647635144,-1.2253930585253217e-05,-3.5143809186104907e-06,0.016929167624976926,-0.012371269116799033,1.0,0.3333333333333333,0.5384615384615384,True
test_diag_15,A,48,0.4447202682495117,-0.022891550883650746,-0.005712700635194801,-6.962284290541743e-06,-1.2533750850708333e-05,-0.021363392348090787,-0.04020990232626595,1.0,0.5384615384615384,0.8181818181818182,True
test_diag_15,B,48,0.4447202682495117,-0.1126631920536359,-0.045107866326967894,6.79042367708084e-06,9.24158486581908e-06,0.005725302795569098,-0.0027289780832472355,1.0,0.42857142857142855,0.25,True
test_diag_16,A,48,0.7606862187385559,-0.04015649656454723,-0.08460666810472806,-9.351262512308223e-06,-6.0508144088099874e-06,-0.02487261518836023,-0.021569768680880425,1.0,0.42857142857142855,0.5384615384615384,True
test_diag_16,B,48,0.7606862187385559,0.10473111117327655,0.099888783858882,1.4241094942446172e-05,1.833858313384125e-05,-0.0010954484343528859,-0.03949889540672302,1.0,0.5384615384615384,0.6666666666666666,True
test_diag_17,A,46,0.7473205924034119,-0.01248265677376792,0.10892888448740307,5.102525220106874e-06,-1.795099754085816e-07,-0.023193708454307738,-0.007821485243345527,1.0,0.25,0.42857142857142855,True
test_diag_17,B,46,0.7473205924034119,-0.030180111734403603,0.02530705299642355,7.311870447461802e-06,8.519230134508907e-06,0.01295692223917555,0.015941677780614963,1.0,0.05263157894736842,0.17647058823529413,True
test_diag_18,A,74,0.5720989108085632,-0.1764789473900402,0.021915520050308945,9.375133297660071e-06,8.791947568004277e-06,-0.010305249242281378,-0.009453176990659395,1.0,0.42857142857142855,0.5384615384615384,True
